Date,BNB-USD,BTC-USD,ETH-USD
2020-11-01,28.461565017700195,13737.109375,396.3581848144531
2020-11-02,27.883930206298828,13550.4892578125,383.15673828125
2020-11-03,26.8570499420166,13950.30078125,387.6021728515625
2020-11-04,26.931514739990234,14133.70703125,402.1419982910156
2020-11-05,27.675859451293945,15579.8486328125,414.0673522949219
2020-11-06,29.01799964904785,15565.880859375,454.71929931640625
2020-11-07,27.738094329833984,14833.75390625,435.713134765625
2020-11-08,28.305116653442383,15479.5673828125,453.5547790527344
2020-11-09,28.018020629882812,15332.3154296875,444.1630554199219
2020-11-10,28.193342208862305,15290.90234375,449.67962646484375
2020-11-11,27.956178665161133,15701.33984375,462.9605407714844
2020-11-12,27.61480712890625,16276.34375,461.0052795410156
2020-11-13,28.182172775268555,16317.80859375,474.6264343261719
2020-11-14,27.936201095581055,16068.138671875,460.14984130859375
2020-11-15,27.621030807495117,15955.587890625,447.55908203125
2020-11-16,28.064109802246094,16716.111328125,459.9403076171875
2020-11-17,28.530580520629883,17645.40625,480.3600769042969
2020-11-18,28.076162338256836,17804.005859375,479.48406982421875
2020-11-19,28.094104766845703,17817.08984375,471.63043212890625
2020-11-20,28.891996383666992,18621.314453125,509.74456787109375
2020-11-21,30.39129066467285,18642.232421875,549.4866333007812
2020-11-22,29.925071716308594,18370.001953125,558.068115234375
2020-11-23,30.965368270874023,18364.12109375,608.4540405273438
2020-11-24,33.80315017700195,19107.46484375,603.8977661132812
2020-11-25,31.342960357666016,18732.12109375,570.6866455078125
2020-11-26,28.20491600036621,17150.623046875,518.8011474609375
2020-11-27,28.475187301635742,17108.40234375,517.4937133789062
2020-11-28,29.143911361694336,17717.4140625,538.2297973632812
2020-11-29,30.117603302001953,18177.484375,575.758056640625
2020-11-30,31.392786026000977,19625.8359375,614.842529296875
2020-12-01,30.10830307006836,18802.998046875,587.3241577148438
2020-12-02,30.297361373901367,19201.091796875,598.3523559570312
2020-12-03,30.704429626464844,19445.3984375,616.708740234375
2020-12-04,29.072208404541016,18699.765625,569.3541870117188
2020-12-05,29.729488372802734,19154.23046875,596.595458984375
2020-12-06,29.540803909301758,19345.12109375,601.9089965820312
2020-12-07,29.378135681152344,19191.630859375,591.8433837890625
2020-12-08,27.636306762695312,18321.14453125,554.8277587890625
2020-12-09,28.129304885864258,18553.916015625,573.4791259765625
2020-12-10,27.696189880371094,18264.9921875,559.6785278320312
2020-12-11,27.361003875732422,18058.904296875,545.79736328125
2020-12-12,28.164451599121094,18803.65625,568.5673217773438
2020-12-13,29.10169219970703,19142.3828125,589.6632080078125
2020-12-14,30.029577255249023,19246.64453125,586.0111694335938
2020-12-15,29.547283172607422,19417.076171875,589.3555908203125
2020-12-16,30.49019432067871,21310.59765625,636.1818237304688
2020-12-17,30.184133529663086,22805.162109375,642.8689575195312
2020-12-18,30.9383602142334,23137.9609375,654.8119506835938
2020-12-19,33.296356201171875,23869.83203125,659.2979125976562
2020-12-20,34.16029739379883,23477.294921875,638.2908325195312
2020-12-21,32.269527435302734,22803.08203125,609.81787109375
2020-12-22,33.482948303222656,23783.029296875,634.8541870117188
2020-12-23,31.097898483276367,23241.345703125,583.714599609375
2020-12-24,32.50059127807617,23735.94921875,611.607177734375
2020-12-25,33.164974212646484,24664.791015625,626.4107055664062
2020-12-26,33.47713851928711,26437.037109375,635.8358154296875
2020-12-27,33.51184844970703,26272.294921875,682.642333984375
2020-12-28,35.84455871582031,27084.80859375,730.3973388671875
2020-12-29,38.95283126831055,27362.4375,731.5201416015625
2020-12-30,38.13629913330078,28840.953125,751.6189575195312
2020-12-31,37.376033782958984,29001.720703125,737.8034057617188
2021-01-01,37.90501022338867,29374.15234375,730.3675537109375
2021-01-02,38.24159240722656,32127.267578125,774.5349731445312
2021-01-03,41.14897918701172,32782.0234375,975.5076904296875
2021-01-04,40.926353454589844,31971.9140625,1040.2330322265625
2021-01-05,41.73460006713867,33992.4296875,1100.006103515625
2021-01-06,42.16595458984375,36824.36328125,1207.1121826171875
2021-01-07,43.44948959350586,39371.04296875,1225.6781005859375
2021-01-08,42.39531707763672,40797.609375,1224.1971435546875
2021-01-09,43.93285369873047,40254.546875,1281.0772705078125
2021-01-10,42.4484748840332,38356.44140625,1262.2467041015625
2021-01-11,38.371360778808594,35566.65625,1090.1453857421875
2021-01-12,38.111610412597656,33922.9609375,1043.4345703125
2021-01-13,40.13593292236328,37316.359375,1130.7393798828125
2021-01-14,41.79368209838867,39187.328125,1218.4530029296875
2021-01-15,40.91897964477539,36825.3671875,1171.8345947265625
2021-01-16,43.17182540893555,36178.140625,1233.53759765625
2021-01-17,45.68461227416992,35791.27734375,1230.1722412109375
2021-01-18,45.353172302246094,36630.07421875,1257.279541015625
2021-01-19,42.7855339050293,36069.8046875,1377.2958984375
2021-01-20,42.60689926147461,35547.75,1382.2740478515625
2021-01-21,38.64583969116211,30825.69921875,1121.5709228515625
2021-01-22,40.85757064819336,33005.76171875,1236.51220703125
2021-01-23,40.81547927856445,32067.642578125,1230.9906005859375
2021-01-24,41.88160705566406,32289.37890625,1391.609375
2021-01-25,41.62370300292969,32366.392578125,1324.414794921875
2021-01-26,41.69473648071289,32569.849609375,1357.05810546875
2021-01-27,40.994876861572266,30432.546875,1253.1871337890625
2021-01-28,42.52910614013672,33466.09765625,1332.4921875
2021-01-29,42.85234832763672,34316.38671875,1382.5228271484375
2021-01-30,44.77227783203125,34269.5234375,1376.115478515625
2021-01-31,44.27599334716797,33114.359375,1314.9862060546875
